Point_ID,Annotation,Region,X,Y,Z
3321,0,3,37593,33477,0
3322,0,3,37588,33477,0
3323,0,3,37585,33477,0
3324,0,3,37582,33477,0
3325,0,3,37580,33477,0
3326,0,3,37578,33477,0
3327,0,3,37577,33478,0
3328,0,3,37575,33478,0
3329,0,3,37572,33478,0
3330,0,3,37568,33478,0
3331,0,3,37565,33478,0
3332,0,3,37560,33478,0
3333,0,3,37557,33478,0
3334,0,3,37553,33478,0
3335,0,3,37548,33480,0
3336,0,3,37545,33480,0
3337,0,3,37543,33482,0
3338,0,3,37542,33483,0
3339,0,3,37540,33483,0
3340,0,3,37538,33483,0
3341,0,3,37537,33485,0
3342,0,3,37533,33487,0
3343,0,3,37533,33488,0
3344,0,3,37532,33490,0
3345,0,3,37530,33492,0
3346,0,3,37527,33495,0
3347,0,3,37525,33497,0
3348,0,3,37522,33498,0
3349,0,3,37522,33502,0
3350,0,3,37520,33503,0
3351,0,3,37520,33505,0
3352,0,3,37520,33507,0
3353,0,3,37520,33510,0
3354,0,3,37520,33513,0
3355,0,3,37520,33517,0
3356,0,3,37520,33520,0
3357,0,3,37520,33525,0
3358,0,3,37520,33527,0
3359,0,3,37522,33527,0
3360,0,3,37523,33527,0
3361,0,3,37535,33527,0
3362,0,3,37538,33527,0
3363,0,3,37543,33530,0
3364,0,3,37545,33530,0
3365,0,3,37548,33530,0
3366,0,3,37552,33530,0
3367,0,3,37553,33530,0
3368,0,3,37555,33530,0
3369,0,3,37557,33530,0
3370,0,3,37560,33530,0
3371,0,3,37563,33530,0
3372,0,3,37565,33530,0
3373,0,3,37570,33530,0
3374,0,3,37572,33530,0
3375,0,3,37575,33530,0
3376,0,3,37578,33530,0
3377,0,3,37582,33530,0
3378,0,3,37583,33530,0
3379,0,3,37587,33530,0
3380,0,3,37590,33530,0
3381,0,3,37595,33530,0
3382,0,3,37597,33530,0
3383,0,3,37600,33530,0
3384,0,3,37603,33530,0
3385,0,3,37607,33530,0
3386,0,3,37610,33530,0
3387,0,3,37612,33530,0
3388,0,3,37615,33528,0
3389,0,3,37617,33528,0
3390,0,3,37618,33528,0
3391,0,3,37620,33528,0
3392,0,3,37623,33528,0
3393,0,3,37627,33527,0
3394,0,3,37630,33527,0
